Purchasing Document,Company Code,Item category,Item category desc
7500094757,1100,3,Subcontracting
7500094758,1100,3,Subcontracting
7500094759,1100,3,Subcontracting
7500094760,1100,3,Subcontracting
7500094761,1100,3,Subcontracting
7500094762,1100,3,Subcontracting
7500094763,1100,3,Subcontracting
7500094764,1100,9,Service
7500094765,1100,9,Service
7500094766,1100,0,Standard
7500094767,7300,0,Standard
7500094768,7300,0,Standard
7500094769,7300,0,Standard
7500094770,7300,0,Standard
7500094771,7300,0,Standard
7500094772,7300,0,Standard
7500094773,7200,0,Standard
7500094774,7200,0,Standard
7500094775,1100,9,Service
7500094776,7100,9,Service
7500094777,7100,0,Standard
7500094778,7100,0,Standard
7500094779,7300,9,Service
7500094782,7100,9,Service
7500094783,7300,0,Standard
7500094784,7100,9,Service
7500094785,7300,0,Standard
7500094786,7100,9,Service
7500094787,7100,0,Standard
7500094788,7300,9,Service
7500094789,7300,9,Service
7500094790,7200,9,Service
7500094791,7200,9,Service
7500094792,7100,9,Service
7500094793,7200,0,Standard
7500094794,7300,0,Standard
7500094795,7300,0,Standard
7500094796,7300,0,Standard
7500094797,7300,0,Standard
7500094798,7300,0,Standard
7500094799,7300,0,Standard
7500094800,7300,9,Service
7500094801,7300,0,Standard
7500094802,7300,0,Standard
7500094803,7300,0,Standard
7500094804,7300,0,Standard
7500094805,7300,0,Standard
7500094806,7300,0,Standard
7500094807,7300,0,Standard
7500094808,7100,0,Standard
7500094809,7100,0,Standard
7500094810,7100,0,Standard
7500094811,7100,0,Standard
7500094812,7100,0,Standard
7500094814,7100,0,Standard
7500094815,7100,0,Standard
7500094816,7100,0,Standard
7500094817,7100,0,Standard
7500094818,7100,0,Standard
7500094819,7100,0,Standard
7500094820,7100,9,Service
7500094821,7300,0,Standard
7500094822,7300,0,Standard
7500094823,7300,0,Standard
7500094824,7300,0,Standard
7500094825,7300,0,Standard
7500094826,7300,0,Standard
7500094827,7100,9,Service
7500094828,7100,9,Service
7500094829,7100,9,Service
7500094830,7100,9,Service
7500094831,7200,9,Service
7500094832,7300,9,Service
7500094833,7100,0,Standard
7500094834,7300,0,Standard
7500094836,7200,9,Service
7500094837,7200,9,Service
7500094838,7200,0,Standard
7500094839,7100,0,Standard
7500094840,7200,0,Standard
7500094841,7200,9,Service
7500094842,7200,9,Service
7500094843,7200,0,Standard
7500094844,7200,0,Standard
7500094845,7300,3,Subcontracting
7500094846,7300,3,Subcontracting
7500094847,7300,3,Subcontracting
7500094848,7300,0,Standard
7500094849,7300,0,Standard
7500094850,7100,9,Service
7500094851,7100,9,Service
7500094852,7100,9,Service
7500094853,7100,0,Standard
7500094854,7200,0,Standard
7500094855,7100,0,Standard
7500094856,7100,0,Standard
7500094857,7100,0,Standard
7500094858,7100,0,Standard
7500094859,7100,0,Standard
7500094860,7100,0,Standard
7500094861,7300,0,Standard
7500094862,7300,0,Standard
7500094863,7100,9,Service
7500094864,7300,0,Standard
7500094866,7300,0,Standard
7500094868,7300,0,Standard
7500094869,7200,0,Standard
7500094870,7200,0,Standard
7500094871,7200,0,Standard
7500094872,7200,0,Standard
7500094875,7200,0,Standard
7500094877,7300,9,Service
7500094878,7100,9,Service
7500094879,7100,9,Service
7500094880,7100,0,Standard
7500094881,7100,9,Service
7500094882,7100,9,Service
7500094883,7100,9,Service
7500094884,7100,9,Service
7500094885,7100,9,Service
7500094886,7100,9,Service
7500094887,7100,9,Service
7500094888,7100,9,Service
7500094890,7300,9,Service
7500094891,7200,9,Service
7500094892,7100,0,Standard
7500094893,7200,0,Standard
7500094894,7200,0,Standard
7500094895,7100,0,Standard
7500094896,7100,0,Standard
7500094897,7100,0,Standard
7500094898,7100,0,Standard
7500094899,7100,0,Standard
7500094900,7100,0,Standard
7500094901,7100,0,Standard
7500094902,7100,0,Standard
7500094903,7100,0,Standard
7500094904,7100,0,Standard
7500094905,7100,0,Standard
7500094906,7300,0,Standard
7500094907,7100,9,Service
7500094908,7100,0,Standard
7500094909,7100,0,Standard
7500094910,7100,0,Standard
7500094911,7100,0,Standard
7500094912,7100,0,Standard
7500094913,7100,0,Standard
7500094914,7100,0,Standard
7500094915,7100,0,Standard
7500094916,7100,0,Standard
7500094917,7100,0,Standard
7500094918,7100,0,Standard
7500094919,7100,0,Standard
7500094920,7100,0,Standard
7500094921,7100,9,Service
7500094922,7200,0,Standard
7500094923,7100,0,Standard
7500094924,7100,0,Standard
7500094925,7100,9,Service
7500094926,7300,9,Service
7500094927,7200,0,Standard
7500094928,7200,0,Standard
7500094929,7200,0,Standard
7500094930,7200,0,Standard
7500094931,7200,0,Standard
7500094932,7200,0,Standard
7500094933,7200,9,Service
7500094934,1100,0,Standard
7500094935,1100,0,Standard
7500094936,1100,0,Standard
7500094937,1100,0,Standard
7500094938,1100,0,Standard
7500094939,1100,0,Standard
7500094940,1100,0,Standard
7500094941,7200,9,Service
7500094942,7200,0,Standard
7500094944,1100,2,Consignment
7500094949,1100,3,Subcontracting
7500094950,1100,3,Subcontracting
7500094951,1100,3,Subcontracting
7500094952,1100,3,Subcontracting
7500094953,1100,3,Subcontracting
7500094954,1100,0,Standard
7500094955,1100,0,Standard
7500094956,1100,0,Standard
7500094957,1100,0,Standard
7500094958,1100,0,Standard
7500094959,1100,0,Standard
7500094960,1100,0,Standard
7500094961,1100,0,Standard
7500094962,1100,0,Standard
7500094963,1100,0,Standard
7500094964,1100,0,Standard
7500094965,1100,0,Standard
7500094966,1100,0,Standard
7500094967,1100,0,Standard
7500094968,1100,0,Standard
7500094969,1100,0,Standard
7500094970,1100,0,Standard
7500094971,1100,0,Standard
7500094972,1100,0,Standard
7500094973,1100,0,Standard
7500094974,1100,0,Standard
7500094975,1100,0,Standard
7500094976,1100,0,Standard
7500094977,1100,0,Standard
7500094978,1100,0,Standard
7500094979,1100,0,Standard
7500094980,1100,0,Standard
7500094981,1100,0,Standard
7500094982,1100,9,Service
7500094983,1100,9,Service
7500094984,1100,9,Service
7500094985,1100,9,Service
7500094986,1100,0,Standard
7500094988,1100,0,Standard
7500094989,1100,0,Standard
7500094990,1100,0,Standard
7500094991,1100,9,Service
7500094992,1100,9,Service
7500094993,7300,0,Standard
7500094994,1100,0,Standard
7500094995,1100,0,Standard
7500094996,1100,0,Standard
7500094997,1100,0,Standard
7500094998,7200,9,Service
7500094999,7300,0,Standard
7500095000,7300,0,Standard
7500095001,7300,0,Standard
7500095002,7300,0,Standard
7500095003,7300,0,Standard
7500095004,7300,0,Standard
7500095005,7300,0,Standard
7500095006,7300,0,Standard
7500095007,7100,0,Standard
7500095008,7300,9,Service
7500095009,7300,0,Standard
7500095010,7100,0,Standard
7500095011,7100,0,Standard
7500095012,7300,0,Standard
7500095013,7300,0,Standard
7500095014,7300,0,Standard
7500095015,7300,0,Standard
7500095016,7300,0,Standard
7500095017,7300,0,Standard
7500095018,7300,0,Standard
7500095019,7300,0,Standard
7500095020,7300,0,Standard
7500095021,7300,0,Standard
7500095022,7300,0,Standard
7500095023,7300,0,Standard
7500095024,7200,9,Service
7500095025,7300,9,Service
7500095026,7300,9,Service
7500095027,7100,9,Service
7500095028,7300,9,Service
7500095029,7100,0,Standard
7500095030,7100,0,Standard
7500095031,7100,9,Service
7500095032,7100,0,Standard
7500095033,7100,0,Standard
7500095034,7100,0,Standard
7500095035,7100,0,Standard
7500095036,7100,0,Standard
7500095037,7100,0,Standard
7500095039,7100,0,Standard
7500095040,7100,0,Standard
7500095041,7300,0,Standard
7500095042,7300,0,Standard
7500095043,7300,0,Standard
7500095044,7100,0,Standard
7500095045,7100,0,Standard
7500095046,7300,0,Standard
7500095047,7200,0,Standard
7500095048,7200,0,Standard
7500095049,7200,0,Standard
7500095050,7200,0,Standard
7500095051,7100,0,Standard
7500095052,7200,0,Standard
7500095053,7100,0,Standard
7500095055,7100,0,Standard
7500095056,7100,0,Standard
7500095057,7100,9,Service
7500095058,7200,0,Standard
7500095059,7200,0,Standard
7500095060,7100,0,Standard
7500095061,7200,0,Standard
7500095062,7100,0,Standard
7500095063,7100,9,Service
7500095064,7200,0,Standard
7500095065,7200,0,Standard
7500095066,7200,0,Standard
7500095067,7100,0,Standard
7500095068,7100,0,Standard
7500095069,7100,0,Standard
7500095070,7100,0,Standard
7500095071,7100,0,Standard
7500095072,7200,0,Standard
7500095073,7200,0,Standard
7500095074,7200,0,Standard
7500095075,7200,0,Standard
7500095076,7200,0,Standard
7500095077,7200,0,Standard
7500095078,7200,0,Standard
7500095079,7200,0,Standard
7500095080,7200,0,Standard
7500095081,7200,0,Standard
7500095082,7200,0,Standard
7500095083,7200,0,Standard
7500095084,7200,0,Standard
7500095085,7100,0,Standard
7500095086,7200,0,Standard
7500095087,7200,0,Standard
7500095088,7100,0,Standard
7500095089,7100,9,Service
7500095090,7100,9,Service
7500095091,7100,9,Service
7500095092,7100,0,Standard
7500095093,7100,9,Service
7500095094,7100,9,Service
7500095095,7100,9,Service
7500095096,7100,9,Service
7500095097,7100,9,Service
7500095098,7100,9,Service
7500095099,7100,0,Standard
7500095100,7100,9,Service
7500095101,7100,9,Service
7500095102,7100,9,Service
7500095103,7100,9,Service
7500095105,7100,9,Service
7500095106,7200,9,Service
7500095107,7300,9,Service
7500095108,7100,9,Service
7500095109,7200,0,Standard
7500095116,1100,2,Consignment
7500095117,1100,3,Subcontracting
7500095118,1100,3,Subcontracting
7500095119,1100,3,Subcontracting
7500095120,1100,3,Subcontracting
7500095121,1100,3,Subcontracting
7500095122,1100,3,Subcontracting
7500095123,1100,3,Subcontracting
7500095124,1100,3,Subcontracting
7500095126,1100,0,Standard
7500095127,1100,0,Standard
7500095128,1100,0,Standard
7500095129,1100,0,Standard
7500095130,1100,0,Standard
7500095131,1100,0,Standard
7500095132,1100,0,Standard
7500095133,1100,0,Standard
7500095134,1100,0,Standard
7500095135,1100,0,Standard
7500095136,1100,0,Standard
7500095137,1100,0,Standard
7500095138,1100,0,Standard
7500095139,1100,9,Service
7500095140,1100,9,Service
7500095144,1100,2,Consignment
7500095148,1100,0,Standard
7500095153,1100,2,Consignment
7500095154,7300,9,Service
7500095155,7300,0,Standard
7500095156,7300,0,Standard
7500095157,7100,0,Standard
7500095158,7300,9,Service
7500095159,7300,9,Service
7500095160,7300,0,Standard
7500095161,7300,0,Standard
7500095162,7300,9,Service
7500095163,7300,0,Standard
7500095164,7300,0,Standard
7500095165,7300,9,Service
7500095166,7300,0,Standard
7500095167,7100,9,Service
7500095168,7200,9,Service
7500095169,7100,9,Service
7500095170,7200,9,Service
7500095171,7100,9,Service
7500095172,7200,9,Service
7500095173,7200,9,Service
7500095174,7200,9,Service
7500095175,7200,9,Service
7500095176,7300,9,Service
7500095177,7200,0,Standard
7500095178,7300,0,Standard
7500095179,7100,0,Standard
7500095180,7100,0,Standard
7500095181,7300,0,Standard
7500095182,7300,0,Standard
7500095183,7300,0,Standard
7500095184,7300,0,Standard
7500095185,7300,9,Service
7500095186,7200,9,Service
7500095187,7200,0,Standard
7500095188,7200,0,Standard
7500095189,7100,0,Standard
7500095190,7100,0,Standard
7500095191,7100,3,Subcontracting
7500095192,7100,0,Standard
7500095193,7300,0,Standard
7500095194,7100,9,Service
7500095195,7100,9,Service
7500095196,7100,0,Standard
7500095198,7300,0,Standard
7500095199,7300,0,Standard
7500095200,7300,0,Standard
7500095201,7300,0,Standard
7500095202,7300,0,Standard
7500095203,7300,0,Standard
7500095204,7300,0,Standard
7500095205,7300,0,Standard
7500095206,7300,0,Standard
7500095207,7100,0,Standard
7500095208,7300,0,Standard
7500095209,7300,0,Standard
7500095210,7300,0,Standard
7500095211,7300,0,Standard
7500095212,7300,0,Standard
7500095213,7300,0,Standard
7500095214,7300,0,Standard
7500095215,7300,0,Standard
7500095216,7300,0,Standard
7500095217,7300,9,Service
7500095218,7200,9,Service
7500095219,7200,0,Standard
7500095220,7300,0,Standard
7500095221,7200,0,Standard
7500095222,7200,0,Standard
7500095224,7200,0,Standard
7500095225,7100,0,Standard
7500095226,7200,0,Standard
7500095227,7200,0,Standard
7500095228,7300,0,Standard
7500095229,7200,0,Standard
7500095230,7100,0,Standard
7500095231,7100,0,Standard
7500095232,7100,0,Standard
7500095234,7100,0,Standard
7500095235,7100,0,Standard
7500095236,7100,0,Standard
7500095237,7100,0,Standard
7500095238,7100,0,Standard
7500095239,7100,0,Standard
7500095240,7100,0,Standard
7500095241,7300,0,Standard
7500095242,7100,0,Standard
7500095243,7100,0,Standard
7500095244,7100,0,Standard
7500095245,7100,0,Standard
7500095246,7100,0,Standard
7500095247,7100,0,Standard
7500095248,7200,0,Standard
7500095249,7200,0,Standard
7500095250,7100,0,Standard
7500095251,7200,0,Standard
7500095252,7100,0,Standard
7500095253,7100,0,Standard
7500095254,7200,0,Standard
7500095255,7200,0,Standard
7500095256,7100,0,Standard
7500095257,7200,0,Standard
7500095258,7200,0,Standard
7500095259,7100,9,Service
7500095260,7200,0,Standard
7500095261,7100,0,Standard
7500095262,7100,0,Standard
7500095263,7100,0,Standard
7500095264,7100,0,Standard
7500095265,7200,0,Standard
7500095266,7100,0,Standard
7500095267,7100,0,Standard
7500095269,7200,0,Standard
7500095270,7100,0,Standard
7500095271,7100,0,Standard
7500095272,7300,0,Standard
7500095273,7300,0,Standard
7500095274,7200,0,Standard
7500095275,7200,0,Standard
7500095276,7200,0,Standard
7500095277,7100,9,Service
7500095279,7300,0,Standard
7500095280,7300,0,Standard
7500095281,7300,9,Service
7500095282,7300,0,Standard
7500095283,7300,0,Standard
7500095284,7300,0,Standard
7500095286,7100,9,Service
7500095287,7100,0,Standard
7500095288,7200,0,Standard
7500095289,7100,0,Standard
7500095290,7100,9,Service
7500095291,7100,9,Service
7500095292,7100,0,Standard
7500095293,7100,0,Standard
7500095294,7200,0,Standard
7500095295,7100,0,Standard
7500095296,7200,0,Standard
7500095297,7100,0,Standard
7500095298,7100,3,Subcontracting
7500095299,7100,3,Subcontracting
7500095300,7100,3,Subcontracting
7500095301,7100,3,Subcontracting
7500095302,7100,3,Subcontracting
7500095303,7100,3,Subcontracting
7500095304,7100,3,Subcontracting
7500095305,7100,3,Subcontracting
7500095306,7100,3,Subcontracting
7500095307,7100,0,Standard
7500095308,7100,9,Service
7500095310,7100,0,Standard
7500095311,1100,9,Service
7500095312,1100,9,Service
7500095313,1100,9,Service
7500095314,1100,9,Service
7500095315,1100,9,Service
7500095317,1100,0,Standard
7500095318,1100,9,Service
7500095319,1100,9,Service
7500095320,1100,9,Service
7500095325,1100,9,Service
7500095334,1100,3,Subcontracting
7500095335,1100,3,Subcontracting
7500095338,1100,3,Subcontracting
7500095339,1100,3,Subcontracting
7500095341,1100,3,Subcontracting
7500095342,7200,0,Standard
7500095343,1100,9,Service
7500095344,1100,9,Service
7500095345,1100,0,Standard
7500095346,1100,0,Standard
7500095347,1100,0,Standard
7500095348,1100,0,Standard
7500095349,1100,0,Standard
7500095350,1100,0,Standard
7500095351,1100,9,Service
7500095353,1100,0,Standard
7500095354,1100,9,Service
7500095355,1100,9,Service
7500095356,1100,9,Service
7500095357,7300,9,Service
7500095358,7300,0,Standard
7500095359,7300,9,Service
7500095360,1100,0,Standard
7500095361,7100,0,Standard
7500095362,7300,9,Service
7500095363,7100,0,Standard
7500095364,7100,9,Service
7500095365,7100,0,Standard
7500095366,7100,9,Service
7500095367,7100,0,Standard
7500095368,7100,9,Service
7500095369,7100,9,Service
7500095370,7100,9,Service
7500095371,7300,9,Service
7500095372,7100,9,Service
7500095373,7100,9,Service
7500095374,7100,9,Service
7500095375,7100,9,Service
7500095376,7100,9,Service
7500095377,7100,9,Service
7500095378,7100,9,Service
7500095379,7100,9,Service
7500095380,7100,9,Service
7500095381,7300,9,Service
7500095382,7100,9,Service
7500095383,7300,0,Standard
7500095384,7100,9,Service
7500095385,7100,9,Service
7500095386,7100,9,Service
7500095387,7300,9,Service
7500095388,7100,9,Service
7500095389,7300,0,Standard
7500095390,7300,0,Standard
7500095391,7100,9,Service
7500095392,7100,9,Service
7500095393,7100,9,Service
7500095394,7100,9,Service
7500095395,7100,3,Subcontracting
7500095396,7200,0,Standard
7500095397,7100,0,Standard
7500095398,7100,9,Service
7500095399,7200,9,Service
7500095400,7300,0,Standard
7500095401,7200,9,Service
7500095402,7300,0,Standard
7500095403,7300,0,Standard
7500095404,7200,0,Standard
7500095405,7300,0,Standard
7500095406,7300,0,Standard
7500095408,7200,0,Standard
7500095409,7300,0,Standard
7500095410,7100,0,Standard
7500095411,7100,9,Service
7500095412,7100,0,Standard
7500095413,7100,0,Standard
7500095414,7100,0,Standard
7500095415,7300,0,Standard
7500095416,7300,0,Standard
7500095417,7300,0,Standard
7500095418,7300,0,Standard
7500095419,7300,0,Standard
7500095420,7300,0,Standard
7500095421,7300,0,Standard
7500095422,7300,0,Standard
7500095423,7300,0,Standard
7500095424,7300,0,Standard
7500095425,7300,0,Standard
7500095426,7300,0,Standard
7500095427,7300,0,Standard
7500095428,7200,9,Service
7500095429,7300,0,Standard
7500095430,7300,0,Standard
7500095431,7100,0,Standard
7500095432,7100,0,Standard
7500095433,7100,0,Standard
7500095434,7200,0,Standard
7500095435,7200,0,Standard
7500095436,7200,0,Standard
7500095438,7200,0,Standard
7500095439,7200,0,Standard
7500095440,7200,0,Standard
7500095441,7100,0,Standard
7500095443,7200,0,Standard
7500095444,7200,0,Standard
7500095445,7200,0,Standard
